time,lat,lon,SoilMoi0_10cm_inst,SoilMoi10_40cm_inst,RootMoist_inst,SoilTMP0_10cm_inst,Tair_f_inst,Rainf_tavg,Evap_tavg,SWdown_f_tavg,LWdown_f_tavg,Qs_acc,Qsb_acc,Qsm_acc,CanopInt_inst,provincia,canton
2020-01-01,-3.125,-79.125,20.249964,61.77408,234.59612,288.27606,285.45663,1.601492e-05,1.8394085e-05,214.13577,349.5532,0.0008908468,0.0087020565,0.0,0.06874597,Azuay,Girón
2020-01-01,-3.125,-78.875,33.32033,100.34471,420.58563,285.92892,284.28323,4.186129e-05,2.5393681e-05,180.7808,338.8322,0.011299919,0.07211996,0.0,0.11171371,Azuay,Sigsig
2020-01-01,-3.125,-78.625,34.347187,103.32751,684.0539,289.09866,287.80392,4.794113e-05,2.849852e-05,168.31972,363.12814,0.02044125,0.07110625,0.0,0.118858874,Morona Santiago,San Juan Bosco
2020-01-01,-3.125,-78.375,33.61162,100.988846,665.8395,292.76184,291.7798,4.817097e-05,3.5085617e-05,174.53319,382.0055,0.01907633,0.041160848,0.0,0.11945161,Morona Santiago,Limón Indanza
2020-01-01,-3.125,-78.125,33.6039,101.134445,666.3572,294.23016,293.2551,4.8695565e-05,3.4889246e-05,172.80403,392.3601,0.041675244,0.04188149,0.0,0.09967339,Morona Santiago,Tiwintza
2020-01-01,-2.875,-80.125,19.977024,50.02141,194.0307,301.9647,299.24643,1.2430242e-05,8.6521495e-06,229.59311,415.40952,0.001758629,0.0007133871,0.0,0.04050403,Guayas,Guayaquil
2020-01-01,-2.875,-79.625,25.51434,80.66216,393.2724,296.7426,295.49246,3.843024e-05,1.724731e-05,202.69331,384.835,0.02999238,6e-05,0.0,0.0987258,Guayas,Balao
2020-01-01,-2.875,-79.375,26.081676,78.83991,362.81955,287.61383,285.76047,3.8783066e-05,1.5695294e-05,194.495,329.85922,0.02239879,0.0071907258,0.0,0.108971775,Azuay,Cuenca
2020-01-01,-2.875,-79.125,27.312685,82.56437,420.78598,283.56818,281.5785,3.8513306e-05,1.9049327e-05,203.09908,308.19342,0.016933387,0.013291008,2.4193548e-06,0.114221774,Azuay,Cuenca
2020-01-01,-2.875,-78.875,26.850447,80.80055,268.45963,288.27185,285.505,6.21371e-05,3.0994084e-05,223.97823,357.40497,0.016409274,0.078767866,0.0,0.116302416,Azuay,Gualaceo
2020-01-01,-2.875,-78.625,34.2992,103.31797,590.75494,288.53204,285.91998,6.750766e-05,2.9829165e-05,195.06451,371.92645,0.031290926,0.10006524,0.0,0.13149597,Azuay,El Pan
2020-01-01,-2.875,-78.375,27.330015,81.859566,530.9897,294.33664,292.08505,6.78371e-05,3.8755374e-05,201.8575,406.00333,0.015361088,0.03854629,0.0,0.11831452,Morona Santiago,Limón Indanza
2020-01-01,-2.875,-78.125,33.416832,100.45093,656.034,295.6183,293.67227,6.74871e-05,3.919852e-05,184.57472,421.54584,0.06560689,0.029405685,0.0,0.102137096,Morona Santiago,Logroño
2020-01-01,-2.875,-77.875,36.4206,110.317184,760.8043,296.50696,296.52502,6.1018953e-05,3.6674326e-05,158.44447,402.47153,0.06504879,0.1152569,0.0,0.09674597,Morona Santiago,Tiwintza
